## Generic Event attributes (range 1-999),,,,General,Network,System,Appl,PH,displayFormat,Count(DISTINCT),GroupBy,Aggr,OrderBy,Deprecated,Availability,SysPerf,NetPerf,AppPerf,Change,Security,Simple,rbac,Description
1082,Std Dev Sent Bytes,sdevSentBytes,double,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1083,Min Sent Packets,minSentPkts,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1084,Max Sent Packets,maxSentPkts,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1085,Avg Sent Packets,avgSentPkts,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1086,Std Dev Sent Packets,sdevSentPkts,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1087,Min Received Bytes,minRecvBytes,uint64,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1088,Max Received Bytes,maxRecvBytes,uint64,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1089,Avg Received Bytes,avgRecvBytes,double,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1090,Std Dev Received Bytes,sdevRecvBytes,double,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1091,Min Received Packets,minRecvPkts,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1092,Max Received Packets,maxRecvPkts,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1093,Avg Received Packets,avgRecvPkts,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1094,Std Dev Received Packets,sdevRecvPkts,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1095,Internal Traffic Profile Date Representation,profDateNum,uint16,0,1,0,0,0,,0,0,0,1,0,,,,,,,,,
1096,Auth Server IP,authServerIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1097,Auth Server Name,authServerName,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
#1098,Sent Flows,sentFlows,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,,,,
#1099,Received Flows,recvFlows,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,,,,
1100,Total Flows,totFlows,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,,,,
#1101,Min Sent Flows,minSentFlows,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
#1102,Min Received Flows,minRecvFlows,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1103,Min Total Flows,minTotFlows,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
#1104,Max Sent Flows,maxSentFlows,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
#1105,Max Received Flows,maxRecvFlows,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1106,Max Total Flows,maxTotFlows,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
#1107,Avg Sent Flows,avgSentFlows,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
#1108,Avg Received Flows,avgRecvFlows,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1109,Avg Total Flows,avgTotFlows,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
#1110,Std Dev Sent Flows,sdevSentFlows,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
#1111,Std Dev Received Flows,sdevRecvFlows,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1112,Std Dev Total Flows,sdevTotFlows,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1113,Min Total Packets,minTotPkts,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1114,Max Total Packets,maxTotPkts,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1115,Avg Total Packets,avgTotPkts,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1116,Std Dev Total Packets,sdevTotPkts,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1117,Min Total Bytes,minTotBytes,uint64,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
